place,population,registered,pr,lw
PL213,758992,35076,46.213924,10.394695
PL214,707788,33981,48.010139,9.2855024
PL217,464089,9001,19.394987,7.6544805
PL218,532734,14486,27.191807,7.7388268
PL219,341581,15526,45.453346,9.3629923
PL21A,555397,18464,33.244686,8.877718
PL224,525494,14095,26.82238,9.6999121
PL225,664691,26469,39.82151,10.129395
PL227,637712,12711,19.932196,8.8393412
PL228,446143,9406,21.082926,9.0306673
PL229,479061,13875,28.962908,9.8088245
PL22A,752441,20945,27.836069,9.534853
PL22B,701830,17054,24.299332,9.6436205
PL22C,392075,12623,32.19537,9.7960396
PL411,413776,8829,21.337631,9.1881046
PL414,660506,13138,19.890812,9.0732098
PL415,548028,32603,59.491486,10.857779
PL416,672534,19488,28.976974,10.45564
PL417,553422,19205,34.702271,10.329553
PL418,618750,25875,41.81818,10.776469
PL424,408172,15178,37.185303,10.934108
PL426,361529,14876,41.147461,10.248753
PL427,436811,8368,19.157026,9.0481911
PL428,512349,23646,46.152134,10.531297
PL431,386921,16156,41.755295,10.60564
PL432,634549,23402,36.879738,10.49976
PL514,127896,8593,67.187401,11.476702
PL515,559405,22692,40.564529,10.158061
PL516,406183,14285,35.168877,10.10266
PL517,555934,18768,33.759403,9.887949
PL518,574545,30778,53.569347,11.080238
PL523,379771,9870,25.989346,9.5147572
PL524,624645,19877,31.821274,10.3073
PL613,525549,15849,30.157036,9.8804483
PL616,393760,5460,13.866315,8.3763609
PL617,368033,6389,17.359856,8.6139097
PL618,189758,3489,18.386576,8.7268848
PL619,366601,4350,11.865762,8.362134
PL621,534510,9151,17.120354,8.9208059
PL622,621453,11874,19.106834,8.8056736
PL623,290952,5411,18.597569,8.8751822
PL633,747476,32587,43.59605,10.623841
PL634,554144,30502,55.043453,10.183959
PL636,335810,12755,37.982788,10.336312
PL637,224647,5971,26.579477,9.4244404
PL638,433734,9437,21.757574,8.9980383
PL711,711332,17519,24.628443,10.666996
PL712,385035,20391,52.95882,10.29052
PL713,594758,16486,27.718838,9.716857
PL714,453056,9987,22.043633,9.6848249
PL715,368912,15096,40.920326,10.463346
PL721,776556,14279,18.387598,8.6877184
PL722,491683,7357,14.962893,8.0872326
PL811,307475,7113,23.133589,8.7319088
PL812,643525,16242,25.239113,8.4193192
PL814,713691,24278,34.017525,9.5323133
PL815,491459,12909,26.266687,8.9516649
PL821,485911,8552,17.599932,7.7830696
PL822,396312,11914,30.062174,8.5595846
PL823,627206,14625,23.317698,8.6307812
PL824,619865,8520,13.744928,7.9417496
PL841,510785,8636,16.907309,8.4034748
PL842,407497,7003,17.185402,9.1508512
PL843,276683,4454,16.097845,8.5349369
PL911,1724404,129075,74.851952,10.965565
PL912,612118,28151,45.989498,10.199619
PL913,607890,40328,66.34095,11.329358
PL921,621261,14157,22.787523,9.0676098
PL922,345254,11923,34.533997,10.15256
PL923,333705,6625,19.852863,8.8259954
PL924,389743,7865,20.179964,8.5552559
PL925,422210,12482,29.563488,9.7020969
PL926,260255,17350,66.665382,11.310637
